Simulation Second,Receive Rate[kbps],Packets Received in 4,Byte Received Total,Packets Received Total
4,0,0,0,0
8,0,0,0,0
12,0,0,0,0
16,0,0,0,0
20,76,38,38912,38
24,32,16,55296,54
28,30,15,70656,69
32,160,80,152576,149
36,378,189,346112,338
40,332,166,516096,504
44,292,146,665600,650
48,124,62,729088,712
52,122,61,791552,773
56,120,60,852992,833
60,120,60,914432,893
64,120,60,975872,953
68,118,59,1036288,1012
72,116,58,1095680,1070
76,116,58,1155072,1128
80,170,85,1242112,1213
84,1216,608,1864704,1821
88,1596,798,2681856,2619
92,1666,833,3534848,3452
96,1478,739,4291584,4191
